archetype	section	code	field	context	source	target	note
openEHR-EHR-EVALUATION.social_summary.v1	description	-	purpose		To record a narrative summary about social circumstances or experiences that may have a potential impact on an individual's health, and to provide a framework in which to nest detailed CLUSTER archetypes, each of which will describe the various aspects of social circumstances or experiences in detail.		
openEHR-EHR-EVALUATION.social_summary.v1	description	-	use		Use to record a narrative summary about social circumstances or experiences that may have a potential impact on an individual's health.\n\nUse to incorporate the narrative descriptions of social circumstances or experiences already captured within existing clinical systems into an archetyped format.\n\nUse as a container archetype - to provide a common, queryable ENTRY archetype in which specific, detailed CLUSTER archetypes can be nested. Examples of appropriate CLUSTER archetypes may include, and are not limited to, relationships with others, social supports, living arrangements, employment, education and religion.\n\nThe use of the term 'social summary' varies enormously in practice. This archetype has been designed to allow the concepts that express social history in varying clincial contexts to be represented with the appropriate mix of re-useable archetypes.		
openEHR-EHR-EVALUATION.social_summary.v1	description	-	misuse		Not to be used to record Lifestyle-related information - for example, use specific archetypes for alcohol, tobacco and other substance use; diet and nutrition; and physical activity.		
openEHR-EHR-EVALUATION.social_summary.v1	description	-	keywords		social | family | education | occupation | environment | housing | finances | social history		
openEHR-EHR-EVALUATION.social_summary.v1	description	-	copyright		© National E-Health Transition Authority, openEHR Foundation, Nasjonal IKT HF		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0000	text	EVALUATION	Social summary		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0000	description	EVALUATION	Summary information about social circumstances or experiences that may have a potential impact on an individual's health.		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0001	text	EVALUATION > data/ITEM_TREE	Tree		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0001	description	EVALUATION > data/ITEM_TREE	@ internal @		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0002	text	EVALUATION > data/ITEM_TREE > items/ELEMENT	Summary		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0002	description	EVALUATION > data/ITEM_TREE > items/ELEMENT	Narrative description about social circumstances or experiences that may have a potential impact on an individual's health.		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0002	comment	EVALUATION > data/ITEM_TREE > items/ELEMENT	May be used to record a narrative summary of the complete social circumstances or experiences or key aspects of the social summary, which will be supported by additional structured data, or to import textual data from existing/legacy clinical systems. Details of specific structured findings can be included using CLUSTER archetypes in the 'Details' slot.		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0003	text	EVALUATION > data/ITEM_TREE > items/CLUSTER	Details		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0003	description	EVALUATION > data/ITEM_TREE > items/CLUSTER	Structured detail about the social circumstances and experiences.		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0004	text	EVALUATION > protocol/ITEM_TREE	Tree		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0004	description	EVALUATION > protocol/ITEM_TREE	@ internal @		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0005	text	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	Extension		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0005	description	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	Additional information required to capture local content or to align with other reference models/formalisms.		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0005	comment	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	For example: local information requirements or additional metadata to align with FHIR or CIMI equivalents.		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0006	text	EVALUATION > protocol/ITEM_TREE > items/ELEMENT	Last updated		
openEHR-EHR-EVALUATION.social_summary.v1	term	at0006	description	EVALUATION > protocol/ITEM_TREE > items/ELEMENT	The date this social summary was last updated.		
