archetype	section	code	field	context	source	target	note
openEHR-EHR-COMPOSITION.request.v1	description	-	purpose		To request advice, a specified service or transfer of care from a healthcare provider or organisation about the subject of care.	ケア対象者について、医療従事者または医療機関に対し、助言、特定のサービス、または診療の移管を依頼するため。	
openEHR-EHR-COMPOSITION.request.v1	description	-	use		Use as basis for a request for advice, a service or transfer of care from a healthcare provider or organisation about the subject of care. This document will typically include details about the scope and duration of validity of the request, as well as relevant clinical information about the subject. Requests can vary from a simple request for a consultation, seeking recommendation about further action, requesting a specific procedure or diagnostic test, through to full handover of care and clinical responsibility to the receiving healthcare provider.\n\nUse cases include, but are not limited to a request for:\n- a consultation, second opinion or management advice from a specialist;\n- a diagnostic test;\n- home care from visiting nurses;\n- transfer of care to a rehabilitation facility;\n- for aged care assessment;\n- for a medication review by a pharmacist; and\n- for provision of physiotherapy or occupational therapy.\n\nRequests may be targeted (identifying a specific healthcare provider or organisation to carry out the request) or untargeted (identifying only the type of care desired).	ケア対象者について、医療従事者または医療機関に対し、助言、サービス、または診療の移管を依頼する際の基盤として用いる。この文書には通常、依頼の範囲および有効期間に関する詳細と、ケア対象者に関する関連する臨床情報が含まれる。依頼の内容は、単純なコンサルテーションの依頼、今後の対応についての推奨を求めるもの、特定の処置や臨床検査の依頼から、受け手となる医療従事者への診療および臨床的責任の完全な引き継ぎまで多岐にわたる。\n\nユースケースには以下の依頼が含まれるが、これらに限定されない：\n- 専門医によるコンサルテーション、セカンドオピニオン、または診療方針に関する助言；\n- 臨床検査；\n- 訪問看護師による在宅ケア；\n- リハビリテーション施設への診療の移管；\n- 高齢者ケアのアセスメント；\n- 薬剤師による薬剤監査；および\n- 理学療法または作業療法の提供。\n\n依頼は、依頼を実施する特定の医療従事者または医療機関を指定するもの（宛先指定あり）でも、希望するケアの種類のみを示すもの（宛先指定なし）でもよい。	要確認: "aged care assessment"→「高齢者ケアのアセスメント」（介護認定と読み替えず直訳）、"subject of care"→「ケア対象者」
openEHR-EHR-COMPOSITION.request.v1	description	-	misuse		Not to be used to represent the document recorded as part of a single clinical encounter or visit. Use COMPOSITION.encounter for this purpose.\n\nNot to be used to provide a transfer of care summary to another organisation or provider - use COMPOSITION.transfer_summary for this purpose.	単一の診察の一部として記録される文書を表現するために用いてはならない。その目的にはCOMPOSITION.encounterを用いること。\n\n他の医療機関または医療従事者への診療移管サマリーを提供するために用いてはならない。その目的にはCOMPOSITION.transfer_summaryを用いること。	
openEHR-EHR-COMPOSITION.request.v1	description	-	keywords		referral | request | service	紹介 | 依頼 | サービス | 紹介状 | 診療依頼	原文3語に「紹介状」「診療依頼」を追加（CKM検索性のため）
openEHR-EHR-COMPOSITION.request.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-COMPOSITION.request.v1	term	at0000	text	COMPOSITION	Request for service	診療依頼書	「診療依頼書」を採用（他候補: 依頼書／サービス依頼）。国内の「診療情報提供書」とは区別
openEHR-EHR-COMPOSITION.request.v1	term	at0000	description	COMPOSITION	Document sent from one treating healthcare provider or organisation to another, for the purpose of requesting advice, a service or transfer of care.	助言、サービス、または診療の移管を依頼する目的で、診療を担当する医療従事者または医療機関から別の医療従事者・医療機関へ送付される文書。	
openEHR-EHR-COMPOSITION.request.v1	term	at0001	text	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE	Tree	Tree	内部ノード。他言語（de/sv/nb/nl）に倣い "Tree" のまま
openEHR-EHR-COMPOSITION.request.v1	term	at0001	description	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE	@ internal @	@ internal @	
openEHR-EHR-COMPOSITION.request.v1	term	at0042	text	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE > items/CLUSTER	Extension	Extension	用語集の決定により "Extension" は訳さず英字のまま
openEHR-EHR-COMPOSITION.request.v1	term	at0042	description	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE > items/CLUSTER	Additional information required to capture local context or to align with other reference models/formalisms.	ローカルな文脈を取り込むため、または他の参照モデル／形式体系と整合させるために必要な追加情報。	
openEHR-EHR-COMPOSITION.request.v1	term	at0042	comment	COMPOSITION > context/EVENT_CONTEXT > other_context/ITEM_TREE > items/CLUSTER	For example: Local hospital departmental information or additional metadata to align with FHIR or CIMI equivalents.	例：院内の部門情報や、FHIRまたはCIMIの等価物と整合させるための追加メタデータ。	
