archetype	section	code	field	context	source	target	note
openEHR-EHR-EVALUATION.problem_diagnosis.v1	description	-	purpose		For recording details about a single, identified health problem or diagnosis. \n\nThe intended scope of a health problem is deliberately kept loose in the context of clinical documentation, so as to capture any real or perceived concerns that may adversely affect an individual's wellbeing to any degree. A health problem may be identified by the individual, a carer or a healthcare professional. However, a diagnosis is additionally defined based on objective clinical criteria, and usually determined only by a healthcare professional.	特定された単一の健康上の問題または診断についての詳細を記録するため。 \n\n臨床文書化の文脈では、健康上の問題が意図する範囲は意図的に緩やかに保たれている。これは、個人のウェルビーイングに何らかの程度で悪影響を及ぼしうる、実在する、または実在すると認識されているあらゆる懸念を捉えるためである。健康上の問題は、本人、介護者、または医療従事者によって特定されうる。一方、診断はさらに客観的な臨床的基準に基づいて定義され、通常は医療従事者のみが決定する。	要確認: wellbeing→「ウェルビーイング」（他候補: 健康と幸福、安寧）、healthcare professional→「医療従事者」（healthcare provider と同じ訳）、carer→「介護者」
openEHR-EHR-EVALUATION.problem_diagnosis.v1	description	-	use		Use for recording details about a single, identified health problem or diagnosis. \n\nClear definitions that enable differentiation between a 'problem' and a 'diagnosis' are almost impossible in practice - we cannot reliably tell when a problem should be regarded as a diagnosis. When diagnostic or classification criteria are successfully met, then we can confidently call the condition a formal diagnosis, but prior to these conditions being met and while there is supportive evidence available, it can also be valid to use the term 'diagnosis'. The amount of supportive evidence required for the label of diagnosis is not easy to define and in reality probably varies from condition to condition. Many standards committees have grappled with this definitional conundrum for years without clear resolution.\n\nFor the purposes of clinical documentation with this archetype, problem and diagnosis are regarded as a continuum, with increasing levels of detail and supportive evidence usually providing weight towards the label of 'diagnosis'. In this archetype it is not neccessary to classify the condition as a 'problem' or 'diagnosis'. The data requirements to support documentation of either are identical, with additional data structure required to support inclusion of the evidence if and when it becomes available. Examples of problems include: the individual's expressed desire to lose weight, but without a formal diagnosis of Obesity; or a relationship problem with a family member. Examples of formal diagnoses would include a cancer that is supported by historical information, examination findings, histopathological findings, radiological findings and meets all requirements for known diagnostic criteria. In practice, most problems or diagnoses do not sit at either end of the problem-diagnosis spectrum, but somewhere in between.\n\nThis archetype can be used within many contexts. For example, recording a problem or a clinical diagnosis during a clinical consultation; populating a persistent Problem List; or to provide a summary statement within a Discharge Summary document.\n\nIn practice, clinicians use many context-specific qualifiers such as past/present, primary/secondary, active/inactive, admission/discharge etc. The contexts can be location-, specialisation-, episode- or workflow-specific, and these can cause confusion or even potential safety issues if perpetuated in Problem Lists or shared in documents that are outside of the original context. These qualifiers can be archetyped separately and included in the ‘Status’ slot, because their use varies in different settings. It is expected that these will be used mostly within the appropriate context and not shared out of that context without clear understanding of potential consequences. For example, a primary diagnosis to one clinician may be a secondary one to another specialist; an active problem can become inactive (or vice versa) and this can impact the safe use of clinical decision support. In general these qualifiers should be applied locally within the context of the clinical system, and in practice these statuses should be manually curated by clinicians to ensure that lists of Current/Past, Active/Inactive or Primary/Secondary Problems are clinically accurate. \n\nThis archetype will be used as a component within the Problem Oriented Medical Record as described by Larry Weed. Additional archetypes, representing clinical concepts such as condition as an overarching organiser for diagnoses etc, will need to be developed to support this approach.\n\nIn some situations, it may be assumed that identification of a diagnosis fits only within the expertise of physicians, but this is not the intent for this archetype. Diagnoses can be recorded using this archetype by any healthcare professional.	特定された単一の健康上の問題または診断についての詳細を記録するために用いる。 \n\n「問題」と「診断」を区別できる明確な定義は、実際にはほぼ不可能である。ある問題をいつから診断とみなすべきかを確実に判断することはできない。診断基準や分類基準が満たされれば、その病態を正式な診断と自信を持って呼ぶことができるが、それらの条件が満たされる前であっても、裏付けとなる根拠がある間は「診断」という語を用いることも妥当でありうる。診断というラベルに必要とされる裏付けとなる根拠の量を定義するのは容易ではなく、実際には病態ごとに異なると考えられる。多くの標準化委員会が長年この定義上の難題に取り組んできたが、明確な解決には至っていない。\n\n本アーキタイプによる臨床文書化の目的においては、問題と診断は連続体とみなし、詳細さと裏付けとなる根拠の水準が高まるにつれて、通常は「診断」というラベルに重みが加わるものとする。本アーキタイプでは、その病態を「問題」または「診断」に分類する必要はない。どちらの文書化を支えるデータ要件も同一であり、根拠が利用可能になった時点でそれを含められるように追加のデータ構造が必要となるだけである。問題の例には、肥満という正式な診断はないが本人が減量したいと表明していること、あるいは家族との関係の問題などがある。正式な診断の例には、病歴情報、診察所見、病理組織学的所見、放射線学的所見によって裏付けられ、既知の診断基準のすべての要件を満たすがんなどがある。実際には、ほとんどの問題や診断は問題－診断スペクトラムのどちらかの端ではなく、その中間のどこかに位置する。\n\n本アーキタイプは多くの文脈で使用できる。例えば、診察中に問題や臨床診断を記録する、永続的な問題リストに登録する、退院時サマリー文書内で要約を示す、などである。\n\n実際には、臨床医は過去/現在、主/副、活動性/非活動性、入院時/退院時など、文脈に固有の多くの修飾子を用いる。その文脈は、場所、専門分野、エピソード、またはワークフローに固有のものでありうるため、問題リストに引き継がれたり、元の文脈の外にある文書で共有されたりすると、混乱や潜在的な安全上の問題さえ引き起こしうる。これらの修飾子は、その使い方が状況によって異なるため、別のアーキタイプとして作成し「状態」スロットに含めることができる。これらは主に適切な文脈の中で使用され、起こりうる結果を明確に理解することなくその文脈の外で共有されることはないと想定している。例えば、ある臨床医にとっての主診断が別の専門医にとっては副診断であることがあり、活動性の問題が非活動性になる（またはその逆）ことがあり、これが臨床意思決定支援の安全な利用に影響しうる。一般に、これらの修飾子は臨床システムの文脈の中でローカルに適用されるべきであり、実際には、現在/過去、活動性/非活動性、主/副の問題のリストが臨床的に正確であるように、臨床医が手作業でこれらの状態を管理すべきである。 \n\n本アーキタイプは、Larry Weed が提唱した問題志向型診療記録（Problem Oriented Medical Record）の構成要素として使用される。このアプローチを支えるためには、複数の診断を束ねる上位の整理概念としての病態（condition）などの臨床概念を表す追加のアーキタイプを開発する必要がある。\n\n状況によっては、診断の特定は医師の専門領域にのみ属すると想定されることがあるが、それは本アーキタイプの意図ではない。本アーキタイプを用いて、あらゆる医療従事者が診断を記録できる。	condition→「病態」、Problem List→「問題リスト」、Discharge Summary→「退院時サマリー」、clinical consultation→「診察」（紹介の consultation＝コンサルテーションとは区別）、clinical decision support→「臨床意思決定支援」
openEHR-EHR-EVALUATION.problem_diagnosis.v1	description	-	misuse		Not to be used to record symptoms as described by the individual - use the CLUSTER.symptom archetype, usually within the OBSERVATION.story archetype.\n\nNot to be used to record examination findings - use the family of examination-related CLUSTER archetypes, usually nested within the OBSERVATION.exam archetype.\n\nNot to be used to record laboratory test results or related diagnoses, for example pathological diagnoses - use an appropriate archetype from the laboratory family of OBSERVATION archetypes.\n\nNot to be used to record imaging examination results or imaging diagnoses - use an appropriate archetype from the imaging family of OBSERVATION archetypes.\n\nNot to be used to record 'Differential Diagnoses' - use the EVALUATION.differential_diagnosis archetype.\n\nNot to be used to record 'Reason for Encounter' or 'Presenting Complaint' - use the EVALUATION.reason_for_encounter archetype.\n\nNot to be used to record procedures - use the ACTION.procedure archetype.\n\nNot to be used to record details about pregnancy - use the EVALUATION.pregnancy_bf_status and EVALUATION.pregnancy and related archetypes.\n\nNot to be used to record statements about health risk or potential problems - use the EVALUATION.health_risk archetype.\n\nNot to be used to record statements about adverse reactions, allergies or intolerances - use the EVALUATION.adverse_reaction archetype.\n\nNot to be used for the explicit recording of an absence (or negative presence) of a problem or diagnosis, for example ‘No known problem or diagnoses’ or ‘No known diabetes’. Use the EVALUATION.exclusion-problem_diagnosis archetype to express a positive statement about exclusion of a problem or diagnosis.	本人が述べる症状を記録するために用いてはならない。通常は OBSERVATION.story アーキタイプの中で CLUSTER.symptom アーキタイプを用いること。\n\n診察所見を記録するために用いてはならない。通常は OBSERVATION.exam アーキタイプの中に入れ子にする診察関連の CLUSTER アーキタイプ群を用いること。\n\n臨床検査結果やそれに関連する診断、例えば病理診断を記録するために用いてはならない。臨床検査系の OBSERVATION アーキタイプ群から適切なアーキタイプを用いること。\n\n画像検査結果や画像診断を記録するために用いてはならない。画像系の OBSERVATION アーキタイプ群から適切なアーキタイプを用いること。\n\n「鑑別診断」を記録するために用いてはならない。EVALUATION.differential_diagnosis アーキタイプを用いること。\n\n「受診理由」や「主訴」を記録するために用いてはならない。EVALUATION.reason_for_encounter アーキタイプを用いること。\n\n処置を記録するために用いてはならない。ACTION.procedure アーキタイプを用いること。\n\n妊娠についての詳細を記録するために用いてはならない。EVALUATION.pregnancy_bf_status、EVALUATION.pregnancy および関連するアーキタイプを用いること。\n\n健康リスクや潜在的な問題についての記述を記録するために用いてはならない。EVALUATION.health_risk アーキタイプを用いること。\n\n有害反応、アレルギー、不耐性についての記述を記録するために用いてはならない。EVALUATION.adverse_reaction アーキタイプを用いること。\n\n問題や診断が存在しないこと（または否定的な存在）を明示的に記録するために用いてはならない。例えば「既知の問題や診断なし」や「既知の糖尿病なし」などである。問題や診断の除外についての肯定的な記述を表すには、EVALUATION.exclusion-problem_diagnosis アーキタイプを用いること。	Presenting Complaint→「主訴」、examination findings→「診察所見」、laboratory test results→「臨床検査結果」、imaging→「画像検査／画像診断」、procedure→「処置」、exclusion→「除外」
openEHR-EHR-EVALUATION.problem_diagnosis.v1	description	-	keywords		issue | condition | problem | diagnosis | concern | injury | clinical impression	課題 | 病態 | 問題 | 診断 | 懸念 | 外傷 | 臨床的印象 | 傷病名 | 病名	原文7語（issue→課題、condition→病態、problem→問題、diagnosis→診断、concern→懸念、injury→外傷、clinical impression→臨床的印象）に「傷病名」「病名」を追加（CKM 検索性のため）
openEHR-EHR-EVALUATION.problem_diagnosis.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-EVALUATION.problem_diagnosis.v1	term	at0000	text	EVALUATION	Problem/Diagnosis	問題/診断	要確認: 「問題/診断」を採用（他候補: 傷病名、問題／診断）。国内慣用の「傷病名」は keywords に入れ、概念名は原文どおり problem＝問題、diagnosis＝診断で訳し分けた
openEHR-EHR-EVALUATION.problem_diagnosis.v1	term	at0000	description	EVALUATION	Details about a single identified health condition, injury, disability or any other issue which impacts on the physical, mental and/or social well-being of an individual.	個人の身体的、精神的、および／または社会的なウェルビーイングに影響を及ぼす、特定された単一の健康上の病態、外傷、障害、その他あらゆる問題についての詳細。	
openEHR-EHR-EVALUATION.problem_diagnosis.v1	term	at0000	comment	EVALUATION	Clear delineation between the scope of a problem versus a diagnosis is not easy to achieve in practice. For the purposes of clinical documentation with this archetype, problem and diagnosis are regarded as a continuum, with increasing levels of detail and supportive evidence usually providing weight towards the label of 'diagnosis'.	問題と診断の範囲を明確に線引きすることは、実際には容易ではない。本アーキタイプによる臨床文書化の目的においては、問題と診断は連続体とみなし、詳細さと裏付けとなる根拠の水準が高まるにつれて、通常は「診断」というラベルに重みが加わるものとする。	
openEHR-EHR-EVALUATION.problem_diagnosis.v1	term	at0001	text	EVALUATION > data/ITEM_TREE	structure	structure	内部ノード名（@ internal @）のため Tree / List と同様に英字のまま
openEHR-EHR-EVALUATION.problem_diagnosis.v1	term	at0001	description	EVALUATION > data/ITEM_TREE	@ internal @	@ internal @	
