archetype	section	code	field	context	source	target	note
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	purpose		To manually synthesise and record a narrative summary about a patient, from the perspective of a healthcare provider.	医療従事者の視点から、患者についての叙述的な要約を手作業で総合して記録するため。	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	use		Use to record a narrative, summary view of the patient's health.  This unstructured summary may include identified health issues; health care provided; associated interpretation; patient understanding; and enable communication about some of the softer, more subjective aspects of the patient’s experience and journey. Most commonly this summary is likely to be related to a specific health event such as a specific consultation or hospital admission, but may also be used to summarise the patient's health experience over varying time periods. \nIn practice, Clinical Synopsis is a meta observation that will complement the existing structured clinical record, allowing for expression of subtle, subjective or interpretive information about the patient that might not otherwise be obvious through structured data alone, providing balance and context to the EHR record.  \nFor example, a Clinical Synopsis can communicate a succinct summary of the patient's hospital admission as one component of a comprehensive and structured Discharge Summary document.	患者の健康についての叙述的で要約的な見方を記録するために用いる。この非構造化の要約には、特定された健康上の問題、提供された医療、関連する解釈、患者の理解を含めることができ、患者の経験と経過のうち、より柔らかく主観的な側面についての伝達を可能にする。この要約はほとんどの場合、特定の診察や入院のような特定の健康イベントに関連するものになると考えられるが、さまざまな期間にわたる患者の健康上の経験を要約するためにも使える。 \n実際には、臨床要約は既存の構造化された臨床記録を補完するメタ観察であり、構造化データだけでは明らかにならないかもしれない、患者についての微妙で主観的または解釈的な情報を表現できるようにし、EHR の記録にバランスと文脈を与える。 \n例えば、臨床要約は、包括的で構造化された退院時サマリー文書の一構成要素として、患者の入院についての簡潔な要約を伝えることができる。	要確認: meta observation→「メタ観察」、patient’s experience and journey→「患者の経験と経過」、softer, more subjective aspects→「より柔らかく主観的な側面」
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	misuse		Not to be used to record specific and structured health information. For example, detailed information about Problems, Diagnoses, and Test Results should be recorded using the specific relevant archetypes EVALUATION.problem, EVALUATION.problem-diagnosis, and laboratory or radiology results in OBSERVATIONs. The Clinical Synopsis may convey some critical and selected numerical results from these structured details when judged important for completeness of the Synopsis but is NOT the primary recording site for them.\nThe term “Clinical Synopsis” can sometimes refer to complex and comprehensive documents, such as a Discharge Summary or a Report. In openEHR these documents should be represented as aggregations of constrained archetypes, that is, a Discharge Summary template or a Report template, comprising a number of separate archetypes, of which this Clinical Synopsis archetype may be one.	特定の構造化された健康情報を記録するために用いてはならない。例えば、プロブレム、診断、検査結果についての詳細な情報は、それぞれに対応する EVALUATION.problem、EVALUATION.problem-diagnosis、および OBSERVATION の臨床検査や放射線検査の結果の各archetypeを用いて記録すべきである。臨床要約は、要約の完全性のために重要と判断される場合には、これらの構造化された詳細の中から重要で選択された数値結果を伝えてもよいが、それらの主たる記録場所ではない。\n「臨床要約（Clinical Synopsis）」という語は、退院時サマリーや報告書のような複雑で包括的な文書を指すこともある。openEHR では、これらの文書は制約されたarchetypeの集合、すなわち複数の独立したarchetypeからなる退院時サマリーのテンプレートや報告書のテンプレートとして表現されるべきであり、本臨床要約archetypeはその一つになりうる。	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	keywords		summary | conclusion | outline | precis | abstract | assessment | synopsis | epicrisis | comment | note	要約 | 結論 | 概要 | 大意 | 抄録 | アセスメント | サマリー | エピクリーゼ | コメント | 記録 | 臨床要約 | 経過要約	要確認: epicrisis→「エピクリーゼ」（他候補: 退院時総括）、precis→「大意」、abstract→「抄録」。原文 10 語に「臨床要約」「経過要約」を追加
openEHR-EHR-EVALUATION.clinical_synopsis.v1	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0000	text	EVALUATION	Clinical synopsis	臨床要約	要確認: 「臨床要約」を採用（targets.tsv の案。他候補: 臨床サマリー、臨床的総括）。Discharge Summary＝退院時サマリー とは語を分けた
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0000	description	EVALUATION	Narrative summary or overview about a patient, specifically from the perspective of a healthcare provider, and with or without associated interpretations.	患者についての叙述的な要約または概観で、特に医療従事者の視点からのもの。関連する解釈を伴う場合も伴わない場合もある。	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0001	text	EVALUATION > data/ITEM_TREE	List	List	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0001	description	EVALUATION > data/ITEM_TREE	@ internal @	@ internal @	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0002	text	EVALUATION > data/ITEM_TREE > items/ELEMENT	Synopsis	要約	要確認: Synopsis 単独は「要約」（他候補: 総括）
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0002	description	EVALUATION > data/ITEM_TREE > items/ELEMENT	The summary, assessment, conclusions or evaluation of the clinical findings.	臨床所見の要約、アセスメント、結論、または評価。	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0003	text	EVALUATION > protocol/ITEM_TREE	Tree	Tree	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0003	description	EVALUATION > protocol/ITEM_TREE	@ internal @	@ internal @	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0004	text	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	Extension	Extension	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0004	description	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	Additional information required to capture local content or to align with other reference models/formalisms.	ローカルコンテンツを捕捉するため、あるいは他の参照モデルや形式手法と整合させるために必要な追加情報。	
openEHR-EHR-EVALUATION.clinical_synopsis.v1	term	at0004	comment	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	For example: local information requirements or additional metadata to align with FHIR or CIMI equivalents.	例：ローカルな情報要件や、FHIR または CIMI の相当するものに適合させるための追加メタデータ。	
