archetype	section	code	field	context	source	target	note
openEHR-EHR-EVALUATION.social_summary.v1	description	-	purpose		To record a narrative summary about social circumstances or experiences that may have a potential impact on an individual's health, and to provide a framework in which to nest detailed CLUSTER archetypes, each of which will describe the various aspects of social circumstances or experiences in detail.	個人の健康に影響を及ぼす可能性のある生活状況や社会的経験を、文章で要約して記録するため。それらのさまざまな側面を詳しく記述する CLUSTER archetype群を入れ子にするための枠組みを提供する。	
openEHR-EHR-EVALUATION.social_summary.v1	description	-	use		Use to record a narrative summary about social circumstances or experiences that may have a potential impact on an individual's health.\n\nUse to incorporate the narrative descriptions of social circumstances or experiences already captured within existing clinical systems into an archetyped format.\n\nUse as a container archetype - to provide a common, queryable ENTRY archetype in which specific, detailed CLUSTER archetypes can be nested. Examples of appropriate CLUSTER archetypes may include, and are not limited to, relationships with others, social supports, living arrangements, employment, education and religion.\n\nThe use of the term 'social summary' varies enormously in practice. This archetype has been designed to allow the concepts that express social history in varying clincial contexts to be represented with the appropriate mix of re-useable archetypes.	個人の健康に影響を及ぼす可能性のある生活状況や社会的経験を、文章で要約して記録するために用いる。\n\n既存の臨床システムに記録されている生活状況や社会的経験の叙述的な記述を、archetype化された形式に組み込むために用いる。\n\nコンテナarchetypeとして用い、個別の詳細情報を記録する CLUSTER archetype群を入れ子にできる、検索可能な共通の ENTRY archetypeを提供する。組み込む CLUSTER archetypeの例には、他者との関係、社会的支援、居住状況、就労、教育、宗教などがあるが、これらに限らない。\n\n「生活歴要約」という語の使われ方は、実際には大きく異なる。本archetypeは、再利用可能なarchetypeを適切に組み合わせることで、さまざまな臨床の文脈における生活歴の概念を表現できるよう設計されている。	
openEHR-EHR-EVALUATION.social_summary.v1	description	-	misuse		Not to be used to record Lifestyle-related information - for example, use specific archetypes for alcohol, tobacco and other substance use; diet and nutrition; and physical activity.	生活習慣に関する情報の記録には、本archetypeではなく、それぞれの情報に対応するarchetypeを用いる。例：飲酒、喫煙やその他の物質使用、食事と栄養、身体活動に対応するarchetypeを用いる。	
openEHR-EHR-EVALUATION.social_summary.v1	description	-	keywords		social | family | education | occupation | environment | housing | finances | social history	社会 | 家族 | 教育 | 職業 | 就労 | 環境 | 住居 | 経済状況 | 生活歴 | 生活歴要約 | 生活	
openEHR-EHR-EVALUATION.social_summary.v1	description	-	copyright		© National E-Health Transition Authority, openEHR Foundation, Nasjonal IKT HF	© National E-Health Transition Authority, openEHR Foundation, Nasjonal IKT HF	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0000	text	EVALUATION	Social summary	生活歴要約	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0000	description	EVALUATION	Summary information about social circumstances or experiences that may have a potential impact on an individual's health.	個人の健康に影響を及ぼす可能性のある生活状況や社会的経験に関する要約情報。	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0001	text	EVALUATION > data/ITEM_TREE	Tree	Tree	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0001	description	EVALUATION > data/ITEM_TREE	@ internal @	@ internal @	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0002	text	EVALUATION > data/ITEM_TREE > items/ELEMENT	Summary	要約	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0002	description	EVALUATION > data/ITEM_TREE > items/ELEMENT	Narrative description about social circumstances or experiences that may have a potential impact on an individual's health.	個人の健康に影響を及ぼす可能性のある生活状況や社会的経験の叙述的な記述。	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0002	comment	EVALUATION > data/ITEM_TREE > items/ELEMENT	May be used to record a narrative summary of the complete social circumstances or experiences or key aspects of the social summary, which will be supported by additional structured data, or to import textual data from existing/legacy clinical systems. Details of specific structured findings can be included using CLUSTER archetypes in the 'Details' slot.	生活状況や社会的経験の全体像、または生活歴要約の主要な側面を文章で要約して記録し、構造化データを追加して補うために用いることができる。また、既存または旧来の臨床システムからテキストデータを取り込むためにも使用できる。「詳細情報」スロットに CLUSTER archetypeを組み込むことで、個々の所見に関する詳細情報を構造化して記録できる。	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0003	text	EVALUATION > data/ITEM_TREE > items/CLUSTER	Details	詳細情報	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0003	description	EVALUATION > data/ITEM_TREE > items/CLUSTER	Structured detail about the social circumstances and experiences.	生活状況や社会的経験に関する構造化された詳細情報。	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0004	text	EVALUATION > protocol/ITEM_TREE	Tree	Tree	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0004	description	EVALUATION > protocol/ITEM_TREE	@ internal @	@ internal @	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0005	text	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	Extension	Extension	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0005	description	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	Additional information required to capture local content or to align with other reference models/formalisms.	ローカルコンテンツを捕捉するため、あるいは他の参照モデルや形式手法と整合させるために必要な追加情報。	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0005	comment	EVALUATION > protocol/ITEM_TREE > items/CLUSTER	For example: local information requirements or additional metadata to align with FHIR or CIMI equivalents.	例：ローカルな情報要件や、FHIR または CIMI の相当するものに適合させるための追加メタデータ。	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0006	text	EVALUATION > protocol/ITEM_TREE > items/ELEMENT	Last updated	最終更新日	
openEHR-EHR-EVALUATION.social_summary.v1	term	at0006	description	EVALUATION > protocol/ITEM_TREE > items/ELEMENT	The date this social summary was last updated.	この生活歴要約が最後に更新された日付。	
