archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.address.v1	description	-	purpose		To record details about the location of a person, physical building or landmark as they are known or understood in the course of clinical documentation.	臨床記録の作成に際して取得した、人、建物、または目印となる場所の所在に関する詳細情報を記録するため。	
openEHR-EHR-CLUSTER.address.v1	description	-	use		Use to record details about the location of a person, physical building or landmark as they are known or understood in the course of clinical documentation, often ad hoc or when it is not appropriate or possible to use an address lookup service. Examples include:\n- the business address of an organisation providing home care to an individual; or\n- the postal address of the copyholder of an advanced care record, within the EVALUATION.advance_care_directive archetype; or\n- the physical location of a fall or accident.\n\nThe scope of this archetype has been constrained to carry the commonest structured components for identifying a specific physical building or landmark. In this context, a complete address may be described using:\n- One or more free text 'Address line' data elements to represent the huge variety of ways that ‘street-level' details may need to be recorded; and\n- 'Town' to represent a suburb, town, city, village, or community;\n- 'District/County' to represent a local government district;\n- 'State/Territory/Province’ to represent a major government district;\n- ‘Postcode’, and \n- ‘Country'.\nHowever, this archetype can be extended to include additional fine-grained details about the address by nesting the CLUSTER.structured_address within the 'Structured address' SLOT.\n\nThis CLUSTER.address archetype can also be used as a proxy for an address in formal demographic address data when reviewing a template with domain experts - for example, an assessment where reviewers would expect to see the individual's full contact details at the top of the assessment form.	臨床記録の作成に際して取得した、人、建物、または目印となる場所の所在に関する詳細情報を記録するために用いる。住所登記簿や公式の住所一覧によらずに知り得た住所をその場で記録する場合や、住所検索サービスの利用が適切でない、または利用できない場合を主に想定している。以下のような使用例がある。\n- 個人に在宅ケアを提供する組織の事業所住所を記録する。\n- EVALUATION.advance_care_directive archetype内で、事前ケア記録の写しを保有する人の郵送先住所を記録する。\n- 転倒や事故が起きた物理的な場所を記録する。\n\n本archetypeの範囲は、特定の建物や目印となる場所を識別するための最も一般的な構造化された構成要素に限定している。この文脈では、完全な住所は次の要素で記述できる。\n- 「街区レベル」の詳細を記録する必要のある非常に多様な方法を表すために、1つ以上の自由記述の「住所行」データエレメントを用いる。\n- 郊外、町、市、村、または地域社会を表すために「市区町村」を用いる。\n- 地方自治体の区域を表すために「地区／郡」を用いる。\n- 主要な行政区域を表すために「都道府県／州」を用いる。\n- 「郵便番号」を用いる。 \n- 「国」を用いる。\nただし、「構造化された住所表記」SLOT に CLUSTER.structured_address を入れ子にすることで、住所に関するより細かな詳細情報を含めるよう本archetypeを拡張できる。\n\n本 CLUSTER.address archetypeは、対象領域の専門家とテンプレートをレビューする際に、正式なデモグラフィック住所データにおける住所の代用として使用することもできる。例えば、評価票の冒頭に個人の完全な連絡先が表示されることをレビュー担当者が想定している場合に、その情報を示すために用いる。	
openEHR-EHR-CLUSTER.address.v1	description	-	misuse		Not to be used to record a fully structured address, such as described in ISO standards or as part of maintaining an official demographic register or index. Use an address lookup service, a formal Master Patient Index or a Health Provider Index for this purpose, or archetypes based on the openEHR Demographic Information Model.\n\nNot to be used to represent digital addresses for use in electronic communication. Use CLUSTER.electronic_communication for this purpose.\n\nNot to be used to record details about housing or homelessness. Use the EVALUATION.housing_summary for this purpose.	ISO 規格に記述されているような完全に構造化された住所の記録や、住所登記簿や公式の住所一覧の維持・管理の一環としての記録に用いてはならない。これらの目的には、住所検索サービス、正式な患者マスターインデックス（MPI）や「医療従事者名簿（Health Provider Index）」、または openEHR デモグラフィック情報モデルに基づくarchetypeを用いること。\n\n電子的な連絡先に用いるデジタルアドレスの表現に用いてはならない。デジタルアドレスの記録には、CLUSTER.electronic_communication を用いること。\n\n住居やホームレス状態に関する詳細情報の記録に用いてはならない。これらの記録には、EVALUATION.housing_summary を用いること。	
openEHR-EHR-CLUSTER.address.v1	description	-	keywords		address | postal | mailing | home | business | physical | landmark	住所 | 郵便 | 郵送先 | 自宅 | 勤務先 | 事業所 | 所在地 | 目印 | 都道府県 | 市区町村 | 郵便番号	
openEHR-EHR-CLUSTER.address.v1	term	at0000	text	CLUSTER	Address	住所	
openEHR-EHR-CLUSTER.address.v1	term	at0000	description	CLUSTER	Details about the location of a person, physical building or landmark.	人、建物、または目印となる場所の所在に関する詳細情報。	
openEHR-EHR-CLUSTER.address.v1	term	at0001	text	CLUSTER > items/ELEMENT	Address line	住所行	
openEHR-EHR-CLUSTER.address.v1	term	at0001	description	CLUSTER > items/ELEMENT	An unstructured address line representing all relevant street-level or post-box details that would support the identification of a location.	場所を特定する手がかりとなる、街区レベルまたは私書箱の関連する詳細情報をすべて表す非構造化の住所行。	
openEHR-EHR-CLUSTER.address.v1	term	at0001	comment	CLUSTER > items/ELEMENT	Occurrences for this data element is set to 0..* to allow one or more free text 'Address line' data elements to represent the huge variety of ways that ‘street-level' details may need to be recorded within the context of a specified 'Town'. Multiple address lines can be represented in a template, renamed as 'Address line 1', 'Address line 2,' etc. For example: '7A/52 Davis Street' or 'Apartment 7A' as Address line 1 with '52 Davis Street' as Address line 2; a roadside mail box location, such as 'RMB 725, Princes Highway'; or using a descriptive landmark, such as or 'Corner of Smith & Brown Streets' or 'Second house north of the general store with the red door'.	このデータエレメントの出現回数は 0..* に設定されており、指定した「市区町村」の中で「街区レベル」の詳細を記録する必要のある非常に多様な方法を、1つ以上の自由記述の「住所行」データエレメントで表せる。複数の住所行はテンプレートで「住所行 1」「住所行 2」などと名前を変えて表せる。例：「7A/52 Davis Street」、または住所行 1 を「Apartment 7A」とし住所行 2 を「52 Davis Street」とする；「RMB 725, Princes Highway」のような路上郵便受けの場所；あるいは「Corner of Smith & Brown Streets」や「Second house north of the general store with the red door」のような説明的な目印。日本の住所では、町域・丁目・番地・号・建物名・部屋番号（例：「本町一丁目2番3号 ○○ビル 401」）をここに記録する。	
openEHR-EHR-CLUSTER.address.v1	term	at0002	text	CLUSTER > items/ELEMENT	City/Town	市区町村	
