archetype	section	code	field	context	source	target	note
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	purpose		To record a clinical context-specific or time-specific qualifier for a specified problem or diagnosis.	特定のプロブレムまたは診断に対する、臨床的な文脈や時点に固有の修飾子を記録するため。	
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	use		Use to record a relevant context-specific or time-specific qualifier that provides additional detail which is relevant at the time of recording or within the clinical context where a problem or diagnosis is recorded. The qualifier may not be appropriate at another time or in another clinical context. \n\nThis archetype is designed to be included in Status SLOT in the EVALUATION.problem_diagnosis archetype. The intent is for the EVALUATION.problem_diagnosis archetype to hold all of the information that applies in all contexts, in contrast to this archetype describing only information that depends on the context of use.\n\nIMPORTANT NOTES FOR IMPLEMENTATION: \n- It is not intended or implied that any or all of these qualifiers should be used within the same context or period of time. In contrast to the usual design of archetypes, this archetype has been deliberately designed to collect a number of common qualifiers into one place in an effort to attempt some simple standardisation within a very messy area of clinical practice. It is acknowledged that the data elements contained in this archetype embrace many different, and sometimes even competing, concepts. This has been done mainly to prevent the need for multiple qualifier archetypes, each containing only one or two data elements. \n- Some of these data elements are potentially directly conflicting if used simultaneously within the same context, for example it would not make sense to have an 'inactive' problem together with an Episode that is 'ongoing'. As such, these status qualifiers should be used with extreme care as they are variably applied in practice and interoperability cannot be assured unless usage guidelines are clearly defined within the clinical community in which the 'Problem/Diagnosis' and 'Problem/Diagnosis qualifier' archetype pair may be shared. \n\nFull DRG coding will require the DRG-related data elements from this archetype in combination with data elements from other archetypes.	記録時点、またはプロブレムや診断が記録される臨床的な文脈において追加の意味を持つ詳細情報を提供するために、固有の文脈や固有の時点への修飾子を記録する。その修飾子は、別の時点や別の臨床的な文脈では適切でないことがある。 \n\n本archetypeは、EVALUATION.problem_diagnosis archetypeの「状態」SLOT に含めて使うよう設計されている。EVALUATION.problem_diagnosis archetypeがあらゆる文脈で当てはまる情報をすべて保持するのに対し、本archetypeは使用文脈に依存する情報だけを記述する、という意図である。\n\n実装上の重要な注意： \n- これらの修飾子のいずれか、またはすべてを同じ文脈や同じ期間の中で使うことを意図したり示唆したりするものではない。通常のarchetype設計とは対照的に、本archetypeは、臨床実践の中でも非常に混沌とした領域にいくらかの単純な標準化を試みるため、よく使われる多数の修飾子を意図的に一か所に集めて設計されている。本archetypeに含まれるデータエレメントが、多くの異なる、ときには互いに競合する概念を包含していることは認識している。これは主に、データエレメントを1つか2つしか持たない修飾子archetypeが多数必要になるのを避けるためである。 \n- これらのデータエレメントの一部は、同じ文脈の中で同時に使うと直接矛盾する可能性がある。例えば、「インアクティブ」のプロブレムに「継続中」のエピソードが同時に付くのは意味をなさない。したがって、これらの状態修飾子は実践の中でさまざまに適用されており、「プロブレム・診断」と「プロブレム・診断の修飾子」のarchetypeの組を共有しうる臨床コミュニティの中で使用指針が明確に定義されない限り相互運用性は保証できないため、細心の注意を払って使うこと。 \n\nDRG コーディングを完全に行うには、本archetypeの DRG 関連データエレメントを他のarchetypeのデータエレメントと組み合わせる必要がある。	
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	misuse		Not to be used to represent a differential diagnosis - use the archetype EVALUATION.differential_diagnosis for this purpose.\n\nNot to be used to represent diagnostic certainty - use the 'Diagnostic certainty' data element within the EVALUATION.problem_diagnosis archetype.	鑑別診断を表すために用いてはならない。その目的には EVALUATION.differential_diagnosis archetypeを用いること。\n\n診断確度を表すために用いてはならない。EVALUATION.problem_diagnosis archetype内の「診断確度」データエレメントを用いること。	
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	keywords		problem | active | inactive | status | episode | diagnosis	プロブレム | アクティブ | インアクティブ | 状態 | エピソード | 診断 | 修飾子 | 病名	
openEHR-EHR-CLUSTER.problem_qualifier.v2	description	-	copyright		© openEHR Foundation	© openEHR Foundation	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0000	text	CLUSTER	Problem/Diagnosis qualifier	プロブレム・診断の修飾子	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0000	description	CLUSTER	Contextual or temporal qualifier for a specified problem or diagnosis.	特定のプロブレムまたは診断に対する、文脈的または時間的な修飾子。	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0001	text	CLUSTER > items/ELEMENT	Episodicity	エピソード区分	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0001	description	CLUSTER > items/ELEMENT	Category of this episode for the identified problem/diagnosis.	特定のプロブレム・診断における、このエピソードの区分。	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0001	comment	CLUSTER > items/ELEMENT	For example: 'New' will enable clinicians to distinguish a new, acute episode of otitis media that may have arisen soon after a previous diagnosis, to distinguish it from an unresolved or 'Ongoing' diagnosis of chronic otitis media. Treatment of recurring, new and acute, episodes of a condition may differ significantly from the same condition that is not resolving or responding to treatment. In many situations the clinician will not be able to tell, and so indeterminate may be appropriate.	例：「新規」により、以前の診断の直後に生じたかもしれない新たな急性の中耳炎エピソードを、未治癒または「継続中」の慢性中耳炎の診断と区別できる。繰り返し生じる新規の急性エピソードの治療は、治癒に向かわない、または治療に反応しない同じ病態の治療とは大きく異なることがある。多くの状況では臨床医には判断できないため、「判定不能」が適切な場合もある。	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0003	text	CLUSTER > items/ELEMENT	Active/Inactive?	アクティブ/インアクティブ？	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0003	description	CLUSTER > items/ELEMENT	Category that supports division of problems and diagnoses into Active or Inactive problem lists.	プロブレムと診断を「アクティブ」と「インアクティブ」のプロブレムリストに分けることを支援する区分。	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0003	comment	CLUSTER > items/ELEMENT	The Active/Inactive and Current/Past data elements have similar clinical impact but represent slightly different semantics. Both are actively used in different clinical settings, but usually not together. If a Current/Past qualifier is recorded, then this data element is likely to be redundant. An exception where a condition can be current but inactive is asthma that is not causing acute symptoms.	「アクティブ/インアクティブ」と「現症/既往」のデータエレメントは、臨床的な影響は似ているが意味がわずかに異なる。どちらも異なる臨床現場で実際に使われているが、通常は一緒には使われない。「現症/既往」の修飾子が記録されている場合、このデータエレメントは冗長になる可能性が高い。現症ではあるがインアクティブという例外として、急性症状を起こしていない喘息がある。	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0004	text	CLUSTER > items/ELEMENT	Diagnostic status	診断状況	
openEHR-EHR-CLUSTER.problem_qualifier.v2	term	at0004	description	CLUSTER > items/ELEMENT	Stage or phase of diagnostic process.	診断プロセスの段階または局面。	
